issues_title,issues_created_at,issues_thread_id,issues_thread_creator,issues_thread_creator_affiliation,issues_comment_id,issues_comment_type,issues_comment_text,issues_comment_author,issues_comment_author_affiliation,issues_time_to_close,issues_time_to_first_response,issues_no_of_comments,issues_commits,issues_checks,issues_files_changed,issues_lines_changed
chore: update tool versions,2023-11-16T00:04:06Z,1995784975,awf-autoware-bot[bot],tier4,,,,,missing,,,0,1,0,2,4
feat(docker_image): use cuda:12.3.0 base image,2023-11-15T15:39:26Z,1995019446,xmfcx,awf,1812768767,questioned,"If these jobs are successful, we can merge this.
- https://github.com/autowarefoundation/autoware/actions/runs/6879506877
- https://github.com/autowarefoundation/autoware/actions/runs/6879508781",xmfcx,awf,69525,199,4,1,0,1,2
feat(docker_image): use cuda:12.3.0 base image,2023-11-16T08:27:19Z,1995019446,xmfcx,awf,1813989331,questioned,"@oguzkaganozt it seems both on `arm64` and `amd64` it built correctly. Could you review this PR?

Also they used the cuda base image as shown here: https://github.com/autowarefoundation/autoware/actions/runs/6879506877/job/18711567150#step:5:801

According to here:
https://github.com/autowarefoundation/autoware/blob/d3cd823c1a0382f5fff3ccabc487cbe2ba5f5349/.github/actions/docker-build-and-push/action.yaml#L90

It won't push it to the registry unless it was a scheduled job and was on the main branch.

But since it built things correctly, it should be alright.",xmfcx,awf,69525,199,4,1,0,1,2
feat(docker_image): use cuda:12.3.0 base image,2023-11-16T10:51:57Z,1995019446,xmfcx,awf,1814208754,answered,"I think although it is fine to use the Cuda base image, maybe it is more convenient to use the Ros base image both for cuda and no-cuda images, Imho, this will simplify the base image logic. BTW, even if we use the cuda base image we would still need to download additional cudnn,cusparse, cublas etc. libraries. So using cuda-base does not eliminate the need to download cuda dependencies with ansible.",oguzkaganozt,wg-leads,69525,199,4,1,0,1,2
feat(docker_image): use cuda:12.3.0 base image,2023-11-16T11:52:03Z,1995019446,xmfcx,awf,1814296037,questioned,"Related issue:
- https://github.com/autowarefoundation/autoware/issues/3999",xmfcx,awf,69525,199,4,1,0,1,2
ci: update the stale label,2023-11-15T12:33:16Z,1994690726,xmfcx,awf,,,,,missing,,,0,1,0,1,2
chore(deps): bump styfle/cancel-workflow-action from 0.11.0 to 0.12.0,2023-11-15T11:59:01Z,1994639393,dependabot[bot],tier4,,,,,missing,,,0,1,0,1,2
refactor(ansible): rename some variables to conform new lint rules,2023-11-15T08:30:58Z,1994286429,xmfcx,awf,1812009863,questioned,I will temporarily also bump up the version just to see if the new lint rules work.,xmfcx,awf,98814,206,3,2,0,15,68
refactor(ansible): rename some variables to conform new lint rules,2023-11-15T08:36:25Z,1994286429,xmfcx,awf,1812016879,questioned,"With the updated version, it passes the linter: https://github.com/autowarefoundation/autoware/actions/runs/6874788397/job/18697109204?pr=3988#step:4:87

I will now revert the version bump, it will be merged in its own [PR](https://github.com/autowarefoundation/autoware/pull/3512) anyways.",xmfcx,awf,98814,206,3,2,0,15,68
refactor(ansible): rename some variables to conform new lint rules,2023-11-16T11:57:32Z,1994286429,xmfcx,awf,1814303815,questioned,It now passes :relaxed: https://github.com/autowarefoundation/autoware/actions/runs/6890349139/job/18743202143?pr=3512,xmfcx,awf,98814,206,3,2,0,15,68
ci(workflows): update bot labels,2023-11-14T14:06:33Z,1992816371,xmfcx,awf,,,,,missing,,,0,1,0,4,16
Modernize the RViz2 overlay interface,2023-11-13T14:07:47Z,1990722644,xmfcx,awf,1808231605,questioned,"I've also done some short research on other autonomous vehicle company designs from their videos:

### Tesla

I saw 2 different designs from Teslas, an old one and a new one, I might be wrong too, basically scraping from the videos I saw on YouTube.

#### Old

https://www.youtube.com/watch?v=IkSw2SZQENU&t=47s

![Screenshot from 2023-11-13 16-43-41](https://github.com/autowarefoundation/autoware/assets/10751153/188387a3-18cd-40af-a33b-30ed4846582f)

#### New

https://youtu.be/RiFzcAlr8XE?t=262

![Screenshot from 2023-11-13 16-44-09](https://github.com/autowarefoundation/autoware/assets/10751153/87db0d60-9246-4e60-b252-68bb5841d577)

### AutoX

https://youtu.be/O69YEWpSacU?t=117

![Screenshot from 2023-11-13 14-50-11](https://github.com/autowarefoundation/autoware/assets/10751153/139f19be-85d8-4ec3-84fd-350f45288ff6)

### NVidia

https://youtu.be/qVyN_chiLeo?t=15

![Screenshot from 2023-11-13 14-54-52](https://github.com/autowarefoundation/autoware/assets/10751153/28650a86-610f-431a-a798-b986490c5f06)

### Pony.ai

https://youtu.be/VmpSOWFFcRk?t=158

![Screenshot from 2023-11-13 15-00-15](https://github.com/autowarefoundation/autoware/assets/10751153/dcd3b55d-1968-4553-b38c-04c9d9714707)

### Toyota Teammate

https://youtu.be/WUGjB9Anrkk?t=54

![Screenshot from 2023-11-13 15-01-55](https://github.com/autowarefoundation/autoware/assets/10751153/6bebbd77-9e25-42e2-a9ed-55fb3509ca62)

### Mobileye

https://youtu.be/A1qNdHPyHu4?t=1809

![Screenshot from 2023-11-13 16-45-11](https://github.com/autowarefoundation/autoware/assets/10751153/82a699a7-4b3f-4e03-8aaf-2d705b5516bb)

### Apollo

https://youtu.be/opqtckENIs8?t=13

![Screenshot from 2023-11-13 17-06-18](https://github.com/autowarefoundation/autoware/assets/10751153/81c5b1f5-ecd9-4aac-a616-6d2240712da7)
",xmfcx,awf,,393,5,0,0,0,0
Modernize the RViz2 overlay interface,2023-11-13T14:18:23Z,1990722644,xmfcx,awf,1808250472,questioned,"To achieve this, we can use the following package as a base in the Universe repository:
- https://github.com/autowarefoundation/autoware.universe/tree/main/common/tier4_vehicle_rviz_plugin

And create a new package called:
- `autoware_hud_rviz_plugin` ([HUD](https://en.wikipedia.org/wiki/Head-up_display))",xmfcx,awf,,393,5,0,0,0,0
Modernize the RViz2 overlay interface,2023-11-15T02:25:54Z,1990722644,xmfcx,awf,1811702609,answered,"Very good!
However, Rviz has its limitations, so if we are aiming more beautiful visualization, we may want to consider Game Engine as well.

https://github.com/yukkysaito/godot_rviz2",yukkysaito,tier4,,393,5,0,0,0,0
Modernize the RViz2 overlay interface,2023-11-15T04:03:23Z,1990722644,xmfcx,awf,1811774269,answered,"FYI: It seems like some developers were considering using color palettes for designing visualization markers. We might want to design the color palettes for overlays and other markers to have unified look.
https://github.com/autowarefoundation/autoware_launch/pull/653
https://github.com/autowarefoundation/autoware.universe/issues/5584",mitsudome-r,tier4,,393,5,0,0,0,0
Modernize the RViz2 overlay interface,2023-11-15T16:51:46Z,1990722644,xmfcx,awf,1812903389,questioned,"@yukkysaito I know about your project in Godot, it looks really nice. And I agree that we should create a visualization tool in Unity or Godot.

But reality is that we don't have many developers who would work on getting these done, it'd be a big project.

Also every developer opens up rviz2 many times while developing Autoware. And even small improvements like these can make everyone's experiences much better.

I'm not aware of all the limitations of rviz2 just yet. I know that it uses [Ogre](https://www.ogre3d.org/) for rendering and [QtWidgets 5](https://doc.qt.io/qt-5/qtwidgets-index.html) for window management and overall gui. I think there is still some potential there.

@mitsudome-r thanks for letting me know about them. We plan to make it easy for people to define their own theme colors.",xmfcx,awf,,393,5,0,0,0,0
colcon warning when using development docker for 'velodyne_msgs' ,2023-11-15T14:36:48Z,1978264601,felixf4xu,missing,1812653045,answered,"Hello @felixf4xu 

Thanks for reporting this. This is a benign warning, at least for the current state of this project.

## Simple terminology

In ROS, an overlay is a workspace that is built on top of an underlay.
The underlay typically contains packages installed from binary distributions (like the ROS base installations), while the overlay is where you are developing or compiling additional packages.

## What is this warning **not** about?

This warning is not (at least for now) about whether:
- the package will be built or not.
- the package is will be overridden or not.

> ```console
> ~$ colcon build --help
>   --allow-overriding PKG_NAME [PKG_NAME ...]
>                        Allow building packages that exist in underlay workspaces
> ```

The package will be built and prioritized whether this warning shown or not.

**Detailed info about overriding packages with colcon:** https://colcon.readthedocs.io/en/released/user/overriding-packages.html

Here is an example with and without overriding:

### Without overriding (default)
```console
mfc@mfc-leo:~/projects/autoware$ source /opt/ros/humble/setup.bash
mfc@mfc-leo:~/projects/autoware$ colbu --cmake-args -DCMAKE_BUILD_TYPE=RelWithDebInfo -DCMAKE_EXPORT_COMPILE_COMMANDS=1  --packages-select  velodyne_msgs
[1.509s] WARNING:colcon.colcon_core.package_selection:Some selected packages are already built in one or more underlay workspaces:
	'velodyne_msgs' is in: /opt/ros/humble
If a package in a merged underlay workspace is overridden and it installs headers, then all packages in the overlay must sort their include directories by workspace order. Failure to do so may result in build failures or undefined behavior at run time.
If the overridden package is used by another package in any underlay, then the overriding package in the overlay must be API and ABI compatible or undefined behavior at run time may occur.

If you understand the risks and want to override a package anyways, add the following to the command line:
	--allow-overriding velodyne_msgs

This may be promoted to an error in a future release of colcon-override-check.
Starting >>> velodyne_msgs
Finished <<< velodyne_msgs [3.23s]                     

Summary: 1 package finished [4.47s]
mfc@mfc-leo:~/projects/autoware$ source install/setup.bash
mfc@mfc-leo:~/projects/autoware$ ros2 pkg prefix velodyne_msgs
/home/mfc/projects/autoware/install/velodyne_msgs
```

### With overriding

```console
mfc@mfc-leo:~/projects/autoware$ source /opt/ros/humble/setup.bash
mfc@mfc-leo:~/projects/autoware$ colcon build --symlink-install  --cmake-args -DCMAKE_BUILD_TYPE=RelWithDebInfo -DCMAKE_EXPORT_COMPILE_COMMANDS=1  --packages-select velodyne_msgs --allow-overriding velodyne_msgs
Starting >>> velodyne_msgs
Finished <<< velodyne_msgs [0.62s]                     

Summary: 1 package finished [1.84s]
mfc@mfc-leo:~/projects/autoware$ source install/setup.bash
mfc@mfc-leo:~/projects/autoware$ ros2 pkg prefix velodyne_msgs
/home/mfc/projects/autoware/install/velodyne_msgs
```

### Analysis

So whether we override or not, `velodyne_msgs` in the local workspace will have higher priority.

There might be problems that might arise that I don't know. But so far I've never had a problem from having a package overridden in the workspace.

## What could go wrong if we do a dangerous override?

Let's say we have the following packages:
**M1**: distributed with ros, underlay package (it's a ros message package)
**M2**: overridden in local workspace, overlay package (it's a ros message package)
**B**: distributed with ros, depends on **M1**
**C**: local package, publishes **M2** message

In the local workspace, if **C** publishes **M2** message, **B** will not be able to subscribe to it. This is because **B** is compiled with **M1** message, and **M1** and **M2** are not compatible.

This is just a simple scenario I've come up with, you can find more details and dangers here:
- https://colcon.readthedocs.io/en/released/user/overriding-packages.html#override-every-package-that-depends-on-the-one-you-want-to-override

## What is being overridden?

- (underlay) https://github.com/ros-drivers/velodyne/tree/ros2/velodyne_msgs
- (overlay) https://github.com/tier4/nebula/tree/main/nebula_messages/velodyne_msgs

These are identical.

@drwnz why did you not use the upstream binary package for this?

## Steps to take

- Maybe we can write a short explanation for this on the documentation.
- We could remove the package from the nebula driver. (since they are identical).
- We could use a different name for the nebula driver package.",xmfcx,awf,885199,814080,2,0,0,0,0
colcon warning when using development docker for 'velodyne_msgs' ,2023-11-16T10:22:07Z,1978264601,felixf4xu,missing,1814162620,answered,"This issue is now solved with
- https://github.com/tier4/nebula/pull/93
Thanks @drwnz and @mojomex",xmfcx,awf,885199,814080,2,0,0,0,0
ci(dependabot): update the bot labels,2023-11-03T13:04:50Z,1976170838,xmfcx,awf,,,,,missing,,,0,2,0,1,4
ci(sync-files): update the bot labels,2023-11-02T18:15:21Z,1974811154,xmfcx,awf,,,,,missing,,,0,2,0,1,4
build: update to CUDA 12.3,2023-11-02T14:26:06Z,1974366604,esteve,tier4,1790838962,questioned,"Back to draft, I hadn't realized the TensorRT packages are in a separate Ansible script",esteve,tier4,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-02T14:29:49Z,1974366604,esteve,tier4,1790845747,questioned,@xmfcx this is ready for review now.,esteve,tier4,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-02T15:38:51Z,1974366604,esteve,tier4,1790977588,answered,"I will try to test it tomorrow, thank you for your efforts!",xmfcx,awf,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-02T15:42:27Z,1974366604,esteve,tier4,1790984196,questioned,"@xmfcx thanks for the prompt review. I've incorporated your feedback and pushed a new commit. I'm runnning this locally, though I won't be able to fully test it, just make sure that it can be built.",esteve,tier4,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-02T15:59:45Z,1974366604,esteve,tier4,1791016498,answered,"It seems there is:
- https://github.com/autowarefoundation/autoware/blob/main/arm64.env
file too which contains a single line comment:
```
# Override amd64's settings
```

We might need to override the TensorRT version.

I've checked that [`sbsa` repository](https://developer.download.nvidia.com/compute/cuda/repos/ubuntu2204/sbsa/) contains:
- `libcudnn8-dev_8.9.5.29-1+cuda12.2` (same as in the [`x86_64` repository](https://developer.download.nvidia.com/compute/cuda/repos/ubuntu2204/x86_64/))

But it doesn't contain:
- `tensorrt-dev_8.6.1.6-1+cuda12.0`

Instead, it contains:
- `tensorrt-dev_8.6.2.2-1+cuda12.0`

So, we might need to add:
- `tensorrt_version=8.6.2.2-1+cuda12.0`
to the [arm64.env](https://github.com/autowarefoundation/autoware/blob/main/arm64.env) file.

Also we need to check where in the code it does the overriding.",xmfcx,awf,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-02T16:03:35Z,1974366604,esteve,tier4,1791023539,questioned,@xmfcx do we need the packages from the `sbsa` repository? `8.6.1.6-1+cuda12.0` is in the `x86_64` repository.,esteve,tier4,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-02T16:05:00Z,1974366604,esteve,tier4,1791026126,questioned,"> @xmfcx do we need the packages from the `sbsa` repository? `8.6.1.6-1+cuda12.0` is in the `x86_64` repository.

Just to reply my own question, I think we do need the packages from `sbsa` for ARM-based non-Jetson platforms.",esteve,tier4,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-02T16:06:47Z,1974366604,esteve,tier4,1791029399,answered,"Yes, it is referenced in https://github.com/autowarefoundation/autoware/blob/main/ansible/roles/cuda/tasks/main.yaml#L6",xmfcx,awf,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-03T14:32:00Z,1974366604,esteve,tier4,1792542534,questioned,"@xmfcx I'm building this branch on an ARM virtual machine, so far it seems to be using the correct version of TensorRT for ARM (8.6.2.2-1+cuda12.0)",esteve,tier4,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-03T14:58:24Z,1974366604,esteve,tier4,1792596408,questioned,"Spoke too soon, the `cuda-nvprof-12-3` package doesn't seem to be available for ARM, only `cuda-nvprof-11-7`",esteve,tier4,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-06T13:57:01Z,1974366604,esteve,tier4,1794881713,questioned,"@xmfcx I've built Autoware in an ARM VM and CUDA gets detected and the perception packages are built, I assume the result is correct.",esteve,tier4,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-13T09:53:11Z,1974366604,esteve,tier4,1807813952,answered,"Thanks for your efforts @esteve on this PR.
The changes look alright. To make sure nothing is wrong with the CI, I've started:
- https://github.com/autowarefoundation/autoware/actions/runs/6848119560/job/18617671681
- https://github.com/autowarefoundation/autoware/actions/runs/6848124515/job/18617688612

and will merge when they are done.",xmfcx,awf,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-11-13T12:22:38Z,1974366604,esteve,tier4,1808064869,questioned,@xmfcx it seems that both jobs passed! :partying_face: ,esteve,tier4,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-12-07T18:09:10Z,1974366604,esteve,tier4,1845866638,answered,Is it possible to downgrade to 12.2 to match https://developer.nvidia.com/embedded/jetpack?,kaspermeck-arm,wg-leads,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-12-11T09:24:22Z,1974366604,esteve,tier4,1849637049,answered,"@kaspermeck-arm we could, this PR didn't make any changes in the code.
Only changed the dependencies.

For Jetson devices, I assume they won't install CUDA separately since it would come with the JetPack.

And even looking at the changes here, as long as it is CUDA 12, they seem to be playing well with each other.
So keeping it same shouldn't be a problem.
> cuda_version=12.3
> cudnn_version=8.9.5.29-1+cuda12.2
> tensorrt_version=8.6.1.6-1+cuda12.0

Do you think we should still change the version?",xmfcx,awf,945665,328,16,6,0,4,54
build: update to CUDA 12.3,2023-12-11T15:49:09Z,1974366604,esteve,tier4,1850350729,answered,"@xmfcx 
That's good to know, so technically setting `cuda_version` to `12.2` wouldn't interfere with any CUDA applications in Autoware.

We wouldn't install the driver on the Jetson platforms, but we would deploy CUDA capable containers on it. The driver is backwards compatible, i.e., you can run CUDA 12.1 on the 12.2 driver. Doing it the other way around can lead to complications.

Yes, I do think we should downgrade to `12.2` but only if we don't explicitly are using any features from `12.3`. This should simplify deployment on the Jetson platforms.

@oguzkaganozt @ambroise-arm ",kaspermeck-arm,wg-leads,945665,328,16,6,0,4,54
Update github organization labels,2023-11-03T14:54:46Z,1974203768,xmfcx,awf,1792590619,questioned,"I think it worked quite well for the [Universe repository](https://github.com/autowarefoundation/autoware.universe/labels) :)

![1](https://github.com/autowarefoundation/autoware/assets/10751153/f9fd5537-fef7-4e35-9add-1b5208ba007e)
![2](https://github.com/autowarefoundation/autoware/assets/10751153/4b57f387-c723-44b9-b245-6dc977c7698a)
",xmfcx,awf,1130903,93092,2,0,0,0,0
Update github organization labels,2023-11-15T15:11:37Z,1974203768,xmfcx,awf,1812718330,questioned,"With all 4 main repos configured, I am closing this issue.

But we can still reference this issue as we keep organizing the labels.",xmfcx,awf,1130903,93092,2,0,0,0,0
colcon build error for autoware_auto_tf2,2023-10-30T23:56:01Z,1969397666,felixf4xu,missing,1786224619,answered,"Thanks for the report.

It is probably the same problem as below.

https://github.com/orgs/autowarefoundation/discussions/3877

I hope this information helps you.",SakodaShintaro,tier4,6593,408,2,0,0,0,0
colcon build error for autoware_auto_tf2,2023-10-31T01:39:06Z,1969397666,felixf4xu,missing,1786301039,questioned,"yes, updating to latest git version fixed my problem.",felixf4xu,missing,6593,408,2,0,0,0,0
Upgrade to CUDA 12,2023-10-30T16:25:55Z,1968757861,xmfcx,awf,1785581891,questioned,"I followed:
- https://docs.nvidia.com/cuda/cuda-installation-guide-linux/index.html#network-repo-installation-for-ubuntu

```bash
cd /tmp

wget https://developer.download.nvidia.com/compute/cuda/repos/ubuntu2204/x86_64/cuda-keyring_1.1-1_all.deb

sudo dpkg -i cuda-keyring_1.1-1_all.deb

sudo apt update

sudo apt install cuda tensorrt-dev libcudnn8-dev
```
to install latest CUDA on my machine and I was able to compile Autoware without errors.

I will test some of the packages (starting from the ones required for AWSIM testing) and report my findings.

```console
$ nvcc -V
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2023 NVIDIA Corporation
Built on Fri_Sep__8_19:17:24_PDT_2023
Cuda compilation tools, release 12.3, V12.3.52
Build cuda_12.3.r12.3/compiler.33281558_0
```
Following `dpkg -l | grep cuDNN` and `dpkg -l | grep TensorRT`, some relevant package versions:
```
libcudnn8                                         8.9.5.29-1+cuda12.2                     amd64
libcudnn8-dev                                     8.9.5.29-1+cuda12.2                     amd64
libnvinfer-dev                                    8.6.1.6-1+cuda12.0                      amd64
libnvinfer8                                       8.6.1.6-1+cuda12.0                      amd64
tensorrt-dev                                      8.6.1.6-1+cuda12.0                      amd64
```",xmfcx,awf,1197621,272,9,0,0,0,0
Upgrade to CUDA 12,2023-10-30T16:58:44Z,1968757861,xmfcx,awf,1785665290,questioned,"![Screenshot from 2023-10-30 19-52-32](https://github.com/autowarefoundation/autoware/assets/10751153/ad2e6ac3-38f0-487e-8a60-cc50f3729e2c)

It works!

centerpoint and traffic_light_classifier works.",xmfcx,awf,1197621,272,9,0,0,0,0
Upgrade to CUDA 12,2023-10-30T17:01:07Z,1968757861,xmfcx,awf,1785669825,questioned,@mitsudome-r do you think we should also test this in ARM or can we start upgrading the Ansible scripts right away?,xmfcx,awf,1197621,272,9,0,0,0,0
Upgrade to CUDA 12,2023-10-31T15:13:59Z,1968757861,xmfcx,awf,1787424059,questioned,"@oguzkaganozt have you tested Autoware on AVA developer kit?
If so, could you test it on it too?
It's not urgent, we can use CI to test if it builds and just update the ansible scripts too.",xmfcx,awf,1197621,272,9,0,0,0,0
Upgrade to CUDA 12,2023-10-31T15:20:53Z,1968757861,xmfcx,awf,1787438240,answered,"@xmfcx I'm targeting CUDA 12 for the Debian packages, the process for installing the previous version was a bit clunky and hopefully by the time Autoware works with CUDA 12, the old steps will be obsolete.",esteve,tier4,1197621,272,9,0,0,0,0
Upgrade to CUDA 12,2023-11-02T12:22:04Z,1968757861,xmfcx,awf,1790628146,answered,"> @oguzkaganozt have you tested Autoware on AVA developer kit? If so, could you test it on it too? It's not urgent, we can use CI to test if it builds and just update the ansible scripts too.

I have tested Autoware on AVA and it works. I think this update should also work on it too. But give me some time to validate.",oguzkaganozt,wg-leads,1197621,272,9,0,0,0,0
Upgrade to CUDA 12,2023-11-02T14:22:54Z,1968757861,xmfcx,awf,1790833390,answered,"@xmfcx I've updated the Ansible scripts for CUDA in #3956 , I don't have a GPU powerful enough to test it, though.",esteve,tier4,1197621,272,9,0,0,0,0
Upgrade to CUDA 12,2023-11-06T14:04:29Z,1968757861,xmfcx,awf,1794895765,answered,"I've updated the ticket with the list of packages that depend on CUDA, I'd appreciate if someone can test #3956 with a GPU on x86_64 and ARM, thanks.",esteve,tier4,1197621,272,9,0,0,0,0
Upgrade to CUDA 12,2023-11-09T11:23:57Z,1968757861,xmfcx,awf,1803649173,answered,"I have tested on both arm64(AADP-AVA) and amd64 platforms using rosbag replay simulator with GeForce RTX 3070. It is working fine, I didn't notice any difference between older versions of CUDA and TensorRT.


![1](https://github.com/autowarefoundation/autoware/assets/21222428/3f38d338-360c-46c9-9dce-c4b4682433af)
![2](https://github.com/autowarefoundation/autoware/assets/21222428/57d0316a-85e5-46c4-ab0f-f4f247f07144)
![3](https://github.com/autowarefoundation/autoware/assets/21222428/8eded676-e44e-41a7-9b51-a758e7f84c99)

",oguzkaganozt,wg-leads,1197621,272,9,0,0,0,0
rosdep install error for nebula_sensor_driver & pacmod3_msgs ,2023-11-01T04:45:04Z,1967885145,felixf4xu,missing,1788401054,questioned,"pacmod3 is fixed by manually install it by instructions at autoware/ansible/roles/pacmod/README.md (my ansible never works)


nebula_sensor_driver issue is moved to https://github.com/autowarefoundation/sample_sensor_kit_launch/issues/80",felixf4xu,missing,156266,156266,1,0,0,0,0
feat: add universe_dbw_bridge package,2023-11-15T10:12:46Z,1961907397,DeeKayG,University at Buffalo,1812160287,answered,"Hello @DeeKayG and welcome to the Autoware project!

I know it's a bit un-intuitive but when creating a new PR, you should click on ""Small change"" or ""Standard change"" and fill in the information.
More info can be found in here: https://autowarefoundation.github.io/autoware-documentation/main/contributing/pull-request-guidelines/#example

I've pasted in the small change option and edited your PR, you don't need to do this anymore for this PR.
You can edit the description now.

Could you rename your first commit message to `feat: add universe_dbw_bridge package` please?",xmfcx,awf,1788108,1788006,2,1,0,4,254
feat: add universe_dbw_bridge package,2023-11-15T10:14:28Z,1961907397,DeeKayG,University at Buffalo,1812162762,answered,"Hmm I was confused for a moment, this change should be proposed into https://github.com/autowarefoundation/autoware.universe not here. Could you create this PR targeting there please?

The reason:
- https://github.com/autowarefoundation/autoware is a meta repository, has the ansible scripts for installation and the main workspace structure.
- https://github.com/autowarefoundation/autoware.universe has most of the functional code.",xmfcx,awf,1788108,1788006,2,1,0,4,254
Remove $ signs from artifacts/README.md,2023-10-24T09:06:35Z,1958822336,david-vay,missing,,,,,missing,,,0,1,0,1,64
feat(ansible): tvm artifacts download,2023-10-18T15:53:31Z,1950082660,lexavtanke,leodrive,,,,,missing,,,0,5,0,3,164
chore(.clang-tidy): adds bugprone-unchecked-optional-access check,2023-10-18T07:34:54Z,1949060535,zulfaqar-azmi-t4,tier4,,,,,missing,,,0,1,0,1,1
Develop avinash,2023-10-10T02:34:58Z,1934182238,AvinashRamashray,missing,1754229411,questioned,test,AvinashRamashray,missing,28,28,1,15,0,15,129
Developer avinash,2023-10-07T14:08:34Z,1931365936,AvinashRamashray,missing,1751722154,questioned,just done for testing,AvinashRamashray,missing,19,19,1,2,0,2,2
Create testfile.txt,2023-10-07T13:49:16Z,1931359629,AvinashRamashray,missing,,,,,missing,,,0,1,0,1,1
fix: update all downloaded files with their SHA256 checksum (2),2023-09-26T10:44:00Z,1913223026,esteve,tier4,1735284896,questioned,@lexavtanke could you review this PR again? I closed #3856 by mistake. Thanks.,esteve,tier4,13668,124,2,1,0,1,32
fix: update all downloaded files with their SHA256 checksum (2),2023-09-26T12:41:20Z,1913223026,esteve,tier4,1735466924,questioned,@xmfcx could you approve this PR? Neither @lexavtanke or I have write permissions for this repository. Thanks.,esteve,tier4,13668,124,2,1,0,1,32
fix: update all downloaded files with their SHA256 checksum,2023-09-22T15:22:17Z,1909106757,esteve,tier4,1731604613,questioned,Depends on https://github.com/autowarefoundation/autoware/pull/3848,esteve,tier4,327595,64,1,1,0,1,36
feat(ansible): add yabloc archive extraction to andsible script,2023-09-22T11:50:45Z,1908554524,lexavtanke,leodrive,1731287066,questioned,@esteve These files don't used during build time only during runtime. Actually I don't know why there are so many files in the archive because only model_float32.pb is used in launch files. I guess @KYabuuchi can explain more clear. ,lexavtanke,leodrive,17292,8042,3,1,0,1,5
feat(ansible): add yabloc archive extraction to andsible script,2023-09-22T12:05:22Z,1908554524,lexavtanke,leodrive,1731304942,answered,"YabLoc does not require the models during compilation. The `model_float32.pb` is loaded when performing initial pose estimation after launching Autoware. 

If the model file is not found, non-DNN methods will be used for initial pose estimation. (This is not accurate, but initial position estimation will complete.)",KYabuuchi,tier4,17292,8042,3,1,0,1,5
feat(ansible): add yabloc archive extraction to andsible script,2023-09-22T14:24:30Z,1908554524,lexavtanke,leodrive,1731514173,answered,"@lexavtanke ah, I see, thanks for the explanation. LGTM",esteve,tier4,17292,8042,3,1,0,1,5
Eliminate rosdep errors and autoware.universe build error,2023-09-22T07:27:45Z,1908342235,bgilby59,tier4,,,,,missing,,,0,8,0,35,1574
docs(ansible): add readme with manual artifacts downloading explanation,2023-09-20T16:17:19Z,1905084029,lexavtanke,leodrive,1728056890,questioned,"@esteve Yes, make sense. I will switch it to draft for now and update. ",lexavtanke,leodrive,509841,7797,6,15,0,2,147
docs(ansible): add readme with manual artifacts downloading explanation,2023-09-22T14:18:55Z,1905084029,lexavtanke,leodrive,1731505174,answered,"@lexavtanke sorry I wasn't more specific. I meant adding a checksum file like this:

https://help.ubuntu.com/community/HowToSHA256SUM

so that users can check the files easily by running `sha256sum -c SHA256SUMS`, we might want to sign that file with GPG eventually as well.",esteve,tier4,509841,7797,6,15,0,2,147
docs(ansible): add readme with manual artifacts downloading explanation,2023-09-22T14:57:36Z,1905084029,lexavtanke,leodrive,1731566770,questioned,"@esteve before I had started I also had this Idea because I wasn't sure. But I come to a conclusion that it will work for the first time and if user will update models manually one by one and will keep engines in the folders and run chechsum it can be confusing. After initial run of autoware user will have some additional files like trt engines. 
Here is the example for lidar_centerpoint.
![image](https://github.com/autowarefoundation/autoware/assets/37497658/25cd89ed-8b8d-47f4-8c39-bc734cb11fa9)

Do you think it will be better to push user to update all artifacts simultaneously? If so we will need to add a new playbook to ansible and modify setup-dev-env.sh or provide separate script for updating. 

",lexavtanke,leodrive,509841,7797,6,15,0,2,147
